"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/06/2021","Wal-Mart","WalMart SC 01896","24.35","debit","Shopping","Discover","",""
"6/06/2021","Goodwill Industries","DISCOVER GOODWILL OF S","16.00","debit","Shopping","Discover","",""
"6/06/2021","Goodwill Industries","DISCOVER GOODWILL OF S","6.00","debit","Shopping","Discover","",""
"6/06/2021","Wal-Mart","WalMart SC 01896","120.59","debit","Shopping","Discover","",""
"6/05/2021","CARIBOU & EINSTEIN #35","CARIBOU & EINSTEIN #35","7.35","debit","Coffee Shops","Discover","",""
"6/05/2021","RIZUTO S ICE CREAM","RIZUTO S ICE CREAM","3.43","debit","Fast Food","Discover","",""
"6/05/2021","TST* BURGER - IVYWIL","TST* BURGER - IVYWIL","15.15","debit","Fast Food","Discover","",""
"6/03/2021","Apple","APPLE.COM/BILL","5.40","debit","Electronics & Software","Discover","",""
"6/04/2021","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 50.81 ~ Tran: ACHDW","50.81","debit","Home Insurance","Interest Checking","",""
"6/02/2021","PP*JOSHJOHNSIC SAN JOSE CA","PP*JOSHJOHNSIC SAN JOSE CA","4.27","debit","Fast Food","Discover","",""
"6/02/2021","Acorns Invest Transfer","Acorns Invest Transfer","25.00","debit","Transfer","Interest Checking","",""
"6/02/2021","Weidner WEB PMTS","Weidner WEB PMTS","600.40","debit","Mortgage & Rent","Interest Checking","",""
"6/02/2021","Deposit","Deposit","25.00","credit","Investments","Acorns","",""
"6/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","850.00","credit","Transfer","Interest Checking","",""
"6/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","850.00","debit","Transfer","Online Savings Account","",""
"6/01/2021","APPLECARD GSBANK PAYMENT","APPLECARD GSBANK PAYMENT","154.56","debit","Credit Card Payment","Online Savings Account","",""
"5/31/2021","Portal","Portal 1 & 2","16.22","credit","Income","Venmo","",""
"5/31/2021","Steam Games","PAYPAL *STEAM GAMES 402-935-7733 CA","16.22","debit","Entertainment","Discover","",""
"5/31/2021","Valve Corp.","Valve Corp.","16.22","debit","Electronics & Software","PayPal Account","",""
"5/29/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"5/27/2021","Wal-Mart","WALMART SC 05123 COLORADO SPRICO","69.00","debit","Shopping","Discover","",""
"5/26/2021","Gasbuddy Gasbuddy","GasBuddy GasBuddy","0.01","credit","Income","Interest Checking","",""
"5/26/2021","GasBuddy","GasBuddy GasBuddy","0.01","debit","Gas & Fuel","Interest Checking","",""
"5/26/2021","URBANLIGHTC 888-221-1161 CA","PAYPAL *URBANLIGHTC 888-221-1161 CA","20.00","debit","Hobbies","Discover","",""
"5/26/2021","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"5/25/2021","ROADHOUSE CINEMAS RAILYD COLORADO SPRICO","ROADHOUSE CINEMAS RAILYD COLORADO SPRICO","25.95","debit","Movies & DVDs","Discover","",""
"5/24/2021","MUSHROOM MONDAY MANITOU SPRINCO000230584301404","SQ *MUSHROOM MONDAY MANITOU SPRINCO000230584301404","10.89","debit","Restaurants","Discover","",""
"5/24/2021","Acorns Invest Transfer","Acorns Invest Transfer","100.00","debit","Transfer","Interest Checking","",""
"5/24/2021","Deposit","Deposit","100.00","credit","Investments","Acorns","",""
"5/23/2021","N ACADEMY ARC THRIFT COLORADO SPRICO","N ACADEMY ARC THRIFT COLORADO SPRICO","67.05","debit","Clothing","Discover","",""
"5/23/2021","Goodwill Industries","DISCOVER GOODWILL OF SOU COLORADO SPRICO","13.00","debit","Shopping","Discover","",""
"5/23/2021","Safeway","SAFEWAY #0835 COLORADO SPRICOAPPLE PAY ENDING IN 4","16.45","debit","Groceries","Discover","",""
"5/22/2021","Wal-Mart","WALMART SC 05123 COLORADO SPRICO","34.72","debit","Shopping","Discover","",""
"5/21/2021","Wal-Mart","WALMART SC 01200 COLORADO SPRNCO","14.83","debit","Shopping","Discover","",""
"5/20/2021","Pilot Travel Center","PILOT 00621 LIMON CO","32.58","debit","Gas & Fuel","Discover","",""
"5/20/2021","Wal-Mart","WALMART SC 01200 COLORADO SPRNCO","97.91","debit","Shopping","Discover","",""
"5/20/2021","Wal-Mart","WALMART SC 01200 COLORADO SPRNCO","13.86","debit","Shopping","Discover","",""
"5/20/2021","Venmo Cashout","VENMO CASHOUT","94.62","credit","Income","Interest Checking","",""
"5/20/2021","Acorns Invest Transfer","Acorns Invest Transfer","5.00","debit","Transfer","Interest Checking","",""
"5/20/2021","Deposit","Deposit","5.00","credit","Investments","Acorns","",""
"5/19/2021","Transfer To Ally Bank","Transfer To Ally Bank","94.62","debit","Transfer","Venmo","",""
"5/18/2021","Weidner WEB PMTS","Weidner WEB PMTS","228.02","debit","Mortgage & Rent","Online Savings Account","",""
"5/17/2021","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","71.01","debit","Credit Card Payment","Online Savings Account","",""
"5/15/2021","Convenience","BATES CITY CONVENIENCE BATES CITY MO","24.18","debit","Groceries","Discover","",""
"5/15/2021","Casey's","CASEYS GREENTOWN GREENTOWN IN","31.59","debit","Groceries","Discover","",""
"5/15/2021","Directpay Full Balance","DIRECTPAY FULL BALANCE","71.01","credit","Credit Card Payment","Discover","",""
"5/15/2021","Road Trippin","Road trippin","50.00","credit","Income","Venmo","",""
"5/15/2021","Car Topper I","Car topper? I hardly know her!!","50.00","credit","Income","Venmo","",""
"5/15/2021","Subway","Subways","5.38","debit","Fast Food","Venmo","",""
"5/10/2021","Interest Paid","Interest Paid","0.02","credit","Interest Income","Interest Checking","",""
"5/10/2021","Interest Paid","Interest Paid","2.39","credit","Interest Income","Online Savings Account","",""
"5/05/2021","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 50.81 ~ Tran: ACHDW","50.81","debit","Home Insurance","Interest Checking","",""
"5/04/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","5.40","debit","Electronics & Software","Discover","",""
"5/03/2021","CREW CAR WASH - 48 MUNCIE IN","CREW CAR WASH - 48 MUNCIE IN","2.00","debit","Service & Parts","Discover","",""
"5/03/2021","Culvers","CULVERS OF MUNCIE MUNCIE IN","4.63","debit","Fast Food","Discover","",""
"5/03/2021","APPLECARD GSBANK PAYMENT~ Future Amount: 5.73 ~ Tran: ACHDW","APPLECARD GSBANK PAYMENT~ Future Amount: 5.73 ~ Tran: ACHDW","5.73","debit","Credit Card Payment","Online Savings Account","",""
"5/02/2021","Get Go","GET GO # 7526 YORKTOWN IN","32.58","debit","Gas & Fuel","Discover","",""
"5/02/2021","Amazon","AMZN MKTP US*BY9471X13 AMZN.COM/BILLWA6WF8RQXUF2F","92.10","debit","Shopping","Discover","",""
"5/01/2021","IHOP","IHOP #3313 MARION IN00198R","31.55","debit","Restaurants","Discover","",""
"5/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","50.81","credit","Transfer","Interest Checking","",""
"5/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","50.81","debit","Transfer","Online Savings Account","",""
"4/28/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"4/27/2021","Colorado/Texas WEB PMTS","Colorado/Texas WEB PMTS","300.00","debit","Mortgage & Rent","Interest Checking","",""
"4/27/2021","Colorado/Texas WEB PMTS","Colorado/Texas WEB PMTS","15.00","debit","Mortgage & Rent","Interest Checking","",""
"4/26/2021","URBANLIGHTC 888-221-1161 CA","PAYPAL *URBANLIGHTC 888-221-1161 CA","20.00","debit","Hobbies","Discover","",""
"4/26/2021","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"4/23/2021","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX9870","315.00","debit","Transfer","Online Savings Account","",""
"4/23/2021","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX2593","315.00","credit","Transfer","Interest Checking","",""
"4/16/2021","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","92.57","debit","Credit Card Payment","Online Savings Account","",""
"4/15/2021","Directpay Full Balance","DIRECTPAY FULL BALANCE","92.57","credit","Credit Card Payment","Discover","",""
"4/10/2021","Interest Paid","Interest Paid","0.01","credit","Interest Income","Interest Checking","",""
"4/10/2021","Interest Paid","Interest Paid","1.57","credit","Interest Income","Online Savings Account","",""
"4/07/2021","Internal Revenue Service","IRS  TREAS 310 TAXEIP3~ Future Amount: 1400 ~ Tran: DDIR","1400.00","credit","Federal Tax","Online Savings Account","",""
"4/06/2021","eCheck Deposit","eCheck Deposit","450.00","credit","Income","Online Savings Account","",""
"4/06/2021","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 49.8 ~ Tran: ACHDW","49.80","debit","Home Insurance","Interest Checking","",""
"4/03/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","5.40","debit","Electronics & Software","Discover","",""
"4/02/2021","PP*EB AIRBAND 2021 402-935-7733 CA","PP*EB AIRBAND 2021 402-935-7733 CA","6.94","debit","Entertainment","Discover","",""
"4/02/2021","Eventbrite","Eventbrite","6.94","debit","Business Services","PayPal Account","",""
"4/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","46.17","debit","Transfer","Online Savings Account","",""
"4/01/2021","APPLECARD GSBANK PAYMENT~ Future Amount: 134.7 ~ Tran: ACHDW","APPLECARD GSBANK PAYMENT~ Future Amount: 134.7 ~ Tran: ACHDW","134.70","debit","Credit Card Payment","Online Savings Account","",""
"4/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","46.17","credit","Transfer","Interest Checking","",""
"3/28/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"3/26/2021","URBANLIGHTC 888-221-1161 CA","PAYPAL *URBANLIGHTC 888-221-1161 CA","20.00","debit","Hobbies","Discover","",""
"3/26/2021","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"3/26/2021","Internal Revenue Service","IRS  TREAS 310 TAX REF~ Future Amount: 2364 ~ Tran: DDIR","2364.00","credit","Federal Tax","Online Savings Account","",""
"3/23/2021","DOR IT40 INTAX 001012991231990319212222","DOR IT40 INTAX 001012991231990319212222","442.00","debit","State Tax","Online Savings Account","",""
"3/22/2021","Venmo Cashout","VENMO CASHOUT","4.00","credit","Income","Interest Checking","",""
"3/20/2021","Taco Bell","TACO BELL 023140 GAS CITY IN","12.68","debit","Fast Food","Discover","",""
"3/20/2021","Goodwill Industries","GOODWILL STORE 46 MARI MARION IN","25.00","debit","Shopping","Discover","",""
"3/20/2021","Transfer To Ally Bank","Transfer To Ally Bank","4.00","debit","Transfer","Venmo","",""
"3/16/2021","Air Band","Air Band","5.00","debit","Fast Food","Venmo","",""
"3/16/2021","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","258.68","debit","Credit Card Payment","Online Savings Account","",""
"3/15/2021","Directpay Full Balance","DIRECTPAY FULL BALANCE","258.68","credit","Credit Card Payment","Discover","",""
"3/10/2021","Interest Paid","Interest Paid","1.15","credit","Interest Income","Online Savings Account","",""
"3/10/2021","Interest Paid","Interest Paid","0.01","credit","Interest Income","Interest Checking","",""
"3/07/2021","SB CHOCOLATE SB CAFE SOUTH BEND IN","SB CHOCOLATE SB CAFE SOUTH BEND IN","6.77","debit","Restaurants","Discover","",""
"3/04/2021","Wal-Mart","WALMART SC 01304 WARSAW IN","56.95","debit","Shopping","Discover","",""
"3/04/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","5.40","debit","Electronics & Software","Discover","",""
"3/04/2021","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 49.8 ~ Tran: ACHDW","49.80","debit","Home Insurance","Interest Checking","",""
"3/02/2021","Apple","APPLE.COM/BILL 111-111-1111 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"3/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","46.17","credit","Transfer","Interest Checking","",""
"3/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","46.17","debit","Transfer","Online Savings Account","",""
"2/26/2021","URBANLIGHTC 888-221-1161 CA","PAYPAL *URBANLIGHTC 888-221-1161 CA","20.00","debit","Hobbies","Discover","",""
"2/26/2021","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"2/19/2021","Dollar General","DOLLAR GENERAL #19589 UPLAND IN","2.46","debit","Shopping","Discover","",""
"2/19/2021","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 24 ~ Tran: DDIR","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 24 ~ Tran: DDIR","24.00","credit","Paycheck","Online Savings Account","",""
"2/17/2021","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","990.46","debit","Credit Card Payment","Online Savings Account","",""
"2/16/2021","TAYLOR UNIV PAYMENTS","TAYLOR UNIV PAYMENTS","25.00","debit","Tuition","Interest Checking","",""
"2/15/2021","Directpay Full Balance","DIRECTPAY FULL BALANCE","990.46","credit","Credit Card Payment","Discover","",""
"2/14/2021","Robert Swanson Paid","Robert Swanson Paid Zachary Winters","1.00","debit","Gift","Venmo","",""
"2/14/2021","CASA GRANDE MEXICAN GRIL GAS CITY IN","CASA GRANDE MEXICAN GRIL GAS CITY IN","26.84","debit","Restaurants","Discover","",""
"2/14/2021","Robert Swanson Paid Zachary Winters","Robert Swanson Paid Zachary Winters","1.00","debit","Restaurants","Venmo","",""
"2/12/2021","Acm, Inc.","PAYPAL *ACM INC 402-935-7733 CA","42.00","debit","Gift","Discover","",""
"2/12/2021","INSTITUTEEL 402-935-7733 CA","PAYPAL *INSTITUTEEL 402-935-7733 CA","32.00","debit","Business Services","Discover","",""
"2/12/2021","ACM, Inc.","ACM, Inc.","42.00","debit","Gift","PayPal Account","",""
"2/12/2021","The Institute of Electrical and Electronics Engineers, Inc.","The Institute of Electrical and Electronics Engineers, Inc.","32.00","debit","Utilities","PayPal Account","",""
"2/10/2021","Haircut","Haircut","10.00","debit","Hair","Venmo","",""
"2/10/2021","Interest Paid","Interest Paid","0.01","credit","Interest Income","Interest Checking","",""
"2/10/2021","Interest Paid","Interest Paid","1.54","credit","Interest Income","Online Savings Account","",""
"2/10/2021","Haircut","Haircut","10.00","debit","Hair","Venmo","",""
"2/08/2021","Venmo Cashout","VENMO CASHOUT","4.79","credit","Income","Interest Checking","",""
"2/07/2021","Osmosis Blockchain Knowledge","Osmosis of Blockchain Knowledge ","20.00","credit","Income","Venmo","",""
"2/07/2021","Osmosis Blockchain Knowledge","Osmosis of Blockchain Knowledge","20.00","credit","Income","Venmo","",""
"2/06/2021","Transfer To Ally Bank","Transfer To Ally Bank","4.79","debit","Transfer","Venmo","",""
"2/05/2021","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 232.95 ~ Tran: DDIR","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 232.95 ~ Tran: DDIR","232.95","credit","Paycheck","Online Savings Account","",""
"2/04/2021","Amazon","AMAZON PRIME AMZN.COM/BILLWA4PY8FVEQXD0","0.54","credit","Shopping","Discover","",""
"2/04/2021","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 49.8 ~ Tran: ACHDW","49.80","debit","Home Insurance","Interest Checking","",""
"2/03/2021","Google","PP*GOOGLE YOUTUBE TVOD 402-935-7733 CA","2.15","debit","Advertising","Discover","",""
"2/03/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","5.40","debit","Electronics & Software","Discover","",""
"2/03/2021","Google","Google","2.15","debit","Advertising","PayPal Account","",""
"2/02/2021","Amazon","AMAZON.COM*8R7G184B3 AMZN.COM/BILLWA6ECWVLZHB2P","17.64","debit","Shopping","Discover","",""
"2/01/2021","Amazon","AMZN DIGITAL*FU81J3333 888-802-3080 WA6J9S3VEP1WF","17.05","debit","Shopping","Discover","",""
"2/01/2021","Amazon","AMAZON PRIME*0U19M30F3 AMZN.COM/BILLWA2SY9VJEBGRS","1.07","debit","Shopping","Discover","",""
"2/01/2021","Amazon","AMZN DIGITAL*7C9RP1P03 888-802-3080 WA4D8K8DI8MZ6","38.96","debit","Shopping","Discover","",""
"2/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","46.17","credit","Transfer","Interest Checking","",""
"2/01/2021","APPLECARD GSBANK PAYMENT","APPLECARD GSBANK PAYMENT","16.73","debit","Credit Card Payment","Online Savings Account","",""
"2/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","46.17","debit","Transfer","Online Savings Account","",""
"1/28/2021","Wal-Mart","Walmart kiss","5.21","debit","Shopping","Venmo","",""
"1/28/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"1/26/2021","URBANLIGHTC 888-221-1161 CA","PAYPAL *URBANLIGHTC 888-221-1161 CA","20.00","debit","Hobbies","Discover","",""
"1/26/2021","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"1/25/2021","Wal-Mart","WALMART.COM 8009666546 BENTONVILLE AR","30.83","debit","Shopping","Discover","",""
"1/23/2021","Marathon","MARATHON PETRO255661 UPLAND IN","24.29","debit","Gas & Fuel","Discover","",""
"1/22/2021","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 236.51 ~ Tran: DDIR","TAYLOR UNIVERSIT PAYROLL~ Future Amount: 236.51 ~ Tran: DDIR","236.51","credit","Paycheck","Online Savings Account","",""
"1/19/2021","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","338.86","debit","Credit Card Payment","Online Savings Account","",""
"1/15/2021","Directpay Full Balance","DIRECTPAY FULL BALANCE","338.86","credit","Credit Card Payment","Discover","",""
"1/11/2021","CREDIT FIRST NA CFNA payment","CREDIT FIRST NA CFNA PYMT","1075.33","debit","Credit Card Payment","Interest Checking","",""
"1/10/2021","Interest Paid","Interest Paid","0.02","credit","Interest Income","Interest Checking","",""
"1/10/2021","Interest Paid","Interest Paid","2.64","credit","Interest Income","Online Savings Account","",""
"1/08/2021","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX2593","1075.33","credit","Transfer","Interest Checking","",""
"1/08/2021","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX9870","1075.33","debit","Transfer","Online Savings Account","",""
"1/05/2021","TAYLOR UNIV PAYMENTS","TAYLOR UNIV PAYMENTS","1625.00","debit","Tuition","Online Savings Account","",""
"1/05/2021","Gas For Picking","Gas for picking me up!","10.00","credit","Income","Venmo","",""
"1/04/2021","APPLECARD GSBANK PAYMENT~ Future Amount: 14.3 ~ Tran: ACHDW","APPLECARD GSBANK PAYMENT~ Future Amount: 14.3 ~ Tran: ACHDW","14.30","debit","Credit Card Payment","Online Savings Account","",""
"1/04/2021","Venmo Cashout","VENMO CASHOUT","4.40","credit","Restaurants","Interest Checking","",""
"1/03/2021","FUEL EXPRESSO 23 OLATHE KS","FUEL EXPRESSO 23 OLATHE KS","15.85","debit","Gas & Fuel","Discover","",""
"1/03/2021","Mach 1","MACH 1 10 CASEY IL","23.31","debit","Home","Discover","",""
"1/03/2021","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","5.40","debit","Electronics & Software","Discover","",""
"1/02/2021","Transfer To Ally Bank","Transfer To Ally Bank","4.40","debit","Transfer","Venmo","",""
"1/01/2021","Requested transfer from ALLY BANK Online Savings account XXX","Requested transfer from ALLY BANK Online Savings account XXX","46.17","credit","Transfer","Interest Checking","",""
"1/01/2021","Requested transfer to ALLY BANK Interest Checking account XX","Requested transfer to ALLY BANK Interest Checking account XX","46.17","debit","Transfer","Online Savings Account","",""
"12/30/2020","Tonkawa Trading Post, Inc.","TONKAWA TRADING POST TONKAWA OK","20.85","debit","Gas & Fuel","Discover","",""
"12/29/2020","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","0.99","debit","Electronics & Software","Discover","",""
"12/29/2020","Mineola Eye Care Center","MINEOLA EYECARE MINEOLA TX","646.00","debit","Eyecare","Discover","",""
"12/28/2020","Wal-Mart","Walmart","4.60","debit","Shopping","Venmo","",""
"12/28/2020","eCheck Deposit","eCheck Deposit","50.00","credit","Income","Interest Checking","",""
"12/27/2020","Wal-Mart","WALMART SC 03764 LINDALE TX","77.22","debit","Shopping","Discover","",""
"12/27/2020","Wal-Mart","WALMART.COM 8009666546 BENTONVILLE AR","7.71","debit","Shopping","Discover","",""
"12/27/2020","Apple","APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN","3.24","debit","Electronics & Software","Discover","",""
"12/26/2020","JCPRINTSHOP EBA 402-935-7733 CA","PAYPAL *JCPRINTSHOP EBA 402-935-7733 CA","12.77","debit","Clothing","Discover","",""
"12/26/2020","URBAN LIGHT COM 888-221-1161 CA","PAYPAL *URBAN LIGHT COM 888-221-1161 CA","20.00","debit","Utilities","Discover","",""
"12/26/2020","Goodwill Industries","PAYPAL *GOODWILLCFL EBA 402-935-7733 CA","5.10","debit","Shopping","Discover","",""
"12/26/2020","Community Church","Urban Light Community Church, Inc.","20.00","debit","Gifts & Donations","PayPal Account","",""
"12/24/2020","Amazon","AMZN DIGITAL 888-802-3080 WANV7CL42XGGE","14.46","credit","Shopping","Discover","",""
"12/24/2020","Amazon","AMZN DIGITAL*LY6X409E3 888-802-3080 WA5RJZPS4NEQJ","14.46","debit","Shopping","Discover","",""
"12/23/2020","GOV-PAY FEE (VAN ZANDT) SAN ANTONIO TX","GOV-PAY FEE (VAN ZANDT) SAN ANTONIO TX","3.12","debit","Service Fee","Discover","",""
"12/23/2020","Goodwill Industries","PAYPAL *GOODWILLRS EBAY 402-935-7733 CA","16.46","debit","Shopping","Discover","",""
"12/23/2020","Goodwill Industries","PAYPAL *GOODWILLIND EBA 402-935-7733 CA","7.69","debit","Shopping","Discover","",""
"12/23/2020","VAN ZANDT TAC CANTON TX","VAN ZANDT TAC CANTON TX","124.75","debit","Restaurants","Discover","",""
"12/21/2020","Liberty Mutual","LIBERTY MUTUAL INSRNC PMT","45.16","debit","Auto Insurance","Interest Checking","",""
"12/19/2020","Bubbles","Bubbles","9.00","credit","Income","Venmo","",""
"12/19/2020","Amazon","AMZN MKTP US*L54V68G63 AMZN.COM/BILLWA2MM3YELFO7J","132.02","debit","Shopping","Discover","",""
"12/17/2020","LinkedIn","PAYPAL *LINKEDIN 402-935-7733 CA","27.05","debit","Business Services","Discover","",""
"12/17/2020","LinkedIn","LinkedIn Corporation","27.05","debit","Business Services","PayPal Account","",""
"12/16/2020","Amazon","AMZN MKTP US*CW4PK1P83 AMZN.COM/BILLWA3F9QZA09QEP","5.40","debit","Shopping","Discover","",""
"12/16/2020","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","253.26","debit","Credit Card Payment","Online Savings Account","",""
"12/15/2020","Shell","SHELL 57541531505 TERRELL TX","33.78","debit","Gas & Fuel","Discover","",""
"12/15/2020","DFW AIRPORT PARKING DFW AIRPORT TX01521R","DFW AIRPORT PARKING DFW AIRPORT TX01521R","2.00","debit","Parking","Discover","",""
"12/15/2020","Directpay Full Balance","DIRECTPAY FULL BALANCE","253.26","credit","Credit Card Payment","Discover","",""
"12/15/2020","Amazon","AMZN MKTP US*MH4OP4J73 AMZN.COM/BILLWAZPR78T1OHG0","13.79","debit","Shopping","Discover","",""
"12/15/2020"," INST XFER","PAYPAL INST XFER","1500.00","debit","Transfer","Interest Checking","",""
"12/14/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX2593","1500.00","credit","Transfer","Interest Checking","",""
"12/14/2020","eCheck Deposit","eCheck Deposit","21.00","credit","Income","Interest Checking","",""
